Year,CIPCODE,CIP Family,CIP Family Name,Tier,Institutions Offering,Total Completions,Male,Female,American Indian/Alaska Native,Asian,Black/African American,Hispanic/Latino,Native Hawaiian/Pacific Islander,White,Two or More Races,Race/Ethnicity Unknown,Nonresident Alien
2021,04.0201,04,Architecture,4,2,23,17,6,0,0,1,1,0,17,2,0,2
2021,04.0201,04,Architecture,5,1,12,5,7,0,1,2,1,0,5,0,2,1
2021,04.0202,04,Architecture,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,04.0301,04,Architecture,1,1,9,3,6,0,0,1,3,0,3,2,0,0
2021,04.0301,04,Architecture,2,1,6,2,4,0,0,0,0,0,4,0,0,2
2021,04.0301,04,Architecture,4,2,9,8,1,0,0,2,0,0,7,0,0,0
2021,04.0301,04,Architecture,5,1,5,1,4,0,0,1,0,0,2,0,0,2
2021,04.0501,04,Architecture,4,1,20,8,12,0,0,0,2,1,15,1,1,0
2021,04.0801,04,Architecture,2,1,16,12,4,0,0,2,2,0,11,1,0,0
2021,04.0803,04,Architecture,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,04.0901,04,Architecture,4,1,2,0,2,0,0,0,1,0,1,0,0,0
2021,04.0902,04,Architecture,2,1,95,53,42,0,1,2,8,0,70,7,1,6
2021,04.0902,04,Architecture,4,1,69,34,35,1,1,2,9,1,41,4,2,8
2021,04.0902,04,Architecture,5,2,125,68,57,0,10,2,7,0,39,3,4,60
2021,04.9999,04,Architecture,4,1,6,2,4,0,0,1,0,0,4,1,0,0
2021,04.9999,04,Architecture,5,1,1,1,0,0,0,0,0,0,1,0,0,0
2021,05.0101,05,"Area, Ethnic & Gender Studies",2,1,8,2,6,0,0,1,0,0,1,2,0,4
2021,05.0101,05,"Area, Ethnic & Gender Studies",4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0102,05,"Area, Ethnic & Gender Studies",2,1,8,3,5,0,1,0,0,0,6,1,0,0
2021,05.0102,05,"Area, Ethnic & Gender Studies",4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0102,05,"Area, Ethnic & Gender Studies",5,3,23,6,17,0,1,1,4,0,16,0,1,0
2021,05.0103,05,"Area, Ethnic & Gender Studies",5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0104,05,"Area, Ethnic & Gender Studies",2,1,2,1,1,0,0,0,0,0,1,0,0,1
2021,05.0104,05,"Area, Ethnic & Gender Studies",5,1,2,1,1,0,1,0,1,0,0,0,0,0
2021,05.0106,05,"Area, Ethnic & Gender Studies",2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0106,05,"Area, Ethnic & Gender Studies",5,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0107,05,"Area, Ethnic & Gender Studies",2,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0107,05,"Area, Ethnic & Gender Studies",4,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0107,05,"Area, Ethnic & Gender Studies",5,3,5,1,4,0,0,0,4,0,0,0,0,1
2021,05.0108,05,"Area, Ethnic & Gender Studies",5,1,5,2,3,0,0,1,0,0,3,0,1,0
2021,05.0110,05,"Area, Ethnic & Gender Studies",2,1,2,1,1,0,0,0,0,0,2,0,0,0
2021,05.0125,05,"Area, Ethnic & Gender Studies",2,1,5,1,4,0,0,0,1,0,4,0,0,0
2021,05.0134,05,"Area, Ethnic & Gender Studies",2,1,5,3,2,0,0,0,3,0,1,0,0,1
2021,05.0199,05,"Area, Ethnic & Gender Studies",4,1,70,25,45,0,2,5,5,0,53,4,0,1
2021,05.0199,05,"Area, Ethnic & Gender Studies",5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0200,05,"Area, Ethnic & Gender Studies",4,1,4,2,2,1,0,1,1,0,1,0,0,0
2021,05.0201,05,"Area, Ethnic & Gender Studies",1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,05.0201,05,"Area, Ethnic & Gender Studies",5,2,15,4,11,0,0,11,0,0,1,3,0,0
2021,05.0202,05,"Area, Ethnic & Gender Studies",2,2,30,9,21,26,0,0,2,0,2,0,0,0
2021,05.0207,05,"Area, Ethnic & Gender Studies",2,2,21,2,19,0,0,2,1,0,13,2,0,3
