UNITID,Institution Name,City,State,ZIP,County,Latitude,Longitude,Distance from KC (mi),Tier,Tier Label,Sector,Control,Level,Institution Category,Institution Size,Degree-Granting,Locale,HBCU,Status,CBSA,Website,Address
179715,North Central Missouri College,Trenton,MO,64683,Grundy County,40.078096,-93.617353,84.8,3,Regional (60-100 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,-2,www.ncmissouri.edu/,1301 Main St
177117,Cottey College,Nevada,MO,64772,Vernon County,37.836127,-94.371311,88.0,3,Regional (60-100 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,Town: Remote,No,Active,-2,https://www.cottey.edu/,1000 W Austin
178624,Northwest Missouri State University,Maryville,MO,64468-6001,Nodaway County,40.351692,-94.883339,88.0,3,Regional (60-100 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Degree-granting,Town: Remote,No,Active,32340,https://www.nwmissouri.edu/,800 University Drive
155098,Fort Scott Community College,Fort Scott,KS,66701,Bourbon County,37.816206,-94.715334,89.0,3,Regional (60-100 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,-2,www.fortscott.edu/,2108 S Horton
154642,Allen County Community College,Iola,KS,66749,Allen County,37.938038,-95.396377,91.6,3,Regional (60-100 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,-2,https://www.allencc.edu/,1801 N Cottonwood
155025,Emporia State University,Emporia,KS,66801-5415,Lyon County,38.414784,-96.179021,98.4,3,Regional (60-100 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,21380,www.emporia.edu/,1 Kellogg Circle
155052,Flint Hills Technical College,Emporia,KS,66801-5957,Lyon County,38.41888,-96.224141,100.4,4,Statewide Reach (100-150 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,21380,www.fhtc.edu/,3301 W 18th St
176947,Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,Howard County,39.150497,-92.685253,101.5,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Rural: Distant,No,Active,17860,www.centralmethodist.edu/,411 Central Methodist Square
445267,Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,65248-1198,Howard County,39.150497,-92.685253,101.5,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","1,000 - 4,999",Degree-granting,Rural: Distant,No,Active,17860,www.centralmethodist.edu/,411 Central Methodist Square
155496,Manhattan Christian College,Manhattan,KS,66502-4801,Riley County,39.184806,-96.579383,107.4,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,City: Small,No,Active,31740,www.mccks.edu/,1415 Anderson Ave
155399,Kansas State University,Manhattan,KS,66506,Riley County,39.188648,-96.581077,107.5,4,Statewide Reach (100-150 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","20,000 and above",Degree-granting,City: Small,No,Active,31740,www.k-state.edu/,"919 Mid-Campus Drive, Anderson Hall"
478953,Bellus Academy,Manhattan,KS,66502-2838,Riley County,39.191749,-96.60827,108.9,4,Statewide Reach (100-150 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Small,No,Active,31740,https://bellusacademy.edu/,1130 Westloop Place
155487,Manhattan Area Technical College,Manhattan,KS,66503-2499,Riley County,39.197774,-96.615672,109.4,4,Statewide Reach (100-150 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","Under 1,000",Degree-granting,City: Small,No,Active,31740,https://manhattantech.edu/,3136 Dickens Ave
155566,Neosho County Community College,Chanute,KS,66720,Neosho County,37.670672,-95.464976,109.8,4,Statewide Reach (100-150 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","1,000 - 4,999",Degree-granting,Town: Remote,No,Active,-2,www.neosho.edu/,800 W 14th St
178448,Moberly Area Community College,Moberly,MO,65270-1304,Randolph County,39.418607,-92.455064,115.7,4,Statewide Reach (100-150 mi),"Public, 2-year",Public,Two-year,"Degree-granting, associate and certificates","5,000 - 9,999",Degree-granting,Town: Distant,No,Active,33620,www.macc.edu/,101 College Ave
176910,Central Christian College of the Bible,Moberly,MO,65270-1997,Randolph County,39.395963,-92.427259,116.9,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","Under 1,000",Degree-granting,Town: Distant,No,Active,33620,https://www.cccb.edu/,911 E Urbandale Dr
155681,Pittsburg State University,Pittsburg,KS,66762,Crawford County,37.392071,-94.702473,118.2,4,Statewide Reach (100-150 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Degree-granting,Town: Distant,No,Active,38260,https://www.pittstate.edu/,1701 S Broadway
177685,Paul Mitchell the School-Missouri Columbia,Columbia,MO,65203,Boone County,38.967204,-92.375761,118.6,4,Statewide Reach (100-150 mi),"Private for-profit, less-than 2-year",Private for-profit,Less-than-two-year,"Nondegree-granting, sub-baccalaureate","Under 1,000",Nondegree-granting,City: Midsize,No,Active,17860,missouricolumbia.paulmitchell.edu/,1101 Hutchens Drive
490203,Bolivar Technical College,Bolivar,MO,65613-8095,Polk County,37.623766,-93.421572,119.7,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, not primarily baccalaureate or above","Under 1,000",Degree-granting,Town: Distant,No,Active,44180,www.bolivarcollege.edu/,1135 North Oakland Avenue
178396,University of Missouri-Columbia,Columbia,MO,65211,Boone County,38.94531,-92.328843,121.2,4,Statewide Reach (100-150 mi),"Public, 4-year or above",Public,Four-year or above,"Degree-granting, primarily baccalaureate or above","20,000 and above",Degree-granting,City: Midsize,No,Active,17860,https://missouri.edu/,105 Jesse Hall
178439,University of Missouri-System Office,Columbia,MO,65211,Boone County,38.94531,-92.328843,121.2,4,Statewide Reach (100-150 mi),Administrative Unit,Public,Four-year or above,Not applicable,Not applicable,Degree-granting,City: Midsize,No,Active,17860,https://www.umsystem.edu/,105 Jesse Hall
177065,Columbia College,Columbia,MO,65216,Boone County,38.957388,-92.326354,121.3,4,Statewide Reach (100-150 mi),"Private not-for-profit, 4-year or above",Private not-for-profit,Four-year or above,"Degree-granting, primarily baccalaureate or above","5,000 - 9,999",Degree-granting,City: Midsize,No,Active,17860,https://www.ccis.edu/,1001 Rogers Street
